,JobName,CompanyName,LocationJob,JobType,Type_of_Experience,Years_of_Experience,Skills
10404,Application Support Engineer,CloudzLab ,"Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['IT/Software Development', 'Banking', 'Computer Science', 'core', 'Core Banking', 'Customer Support', 'Engineering', 'Information Technology (IT)']"
10405,.NET Developer,Techno Management ,"New Capital, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['males_preferred', 'IT/Software Development', '.Net', 'MVC', 'Software Development', 'Programming']"
10406,Math Supervisor - AlAlson Azhari Language School,ED World ,"Haram, Giza, Egypt ",Full Time,Manager,3+ Yrs of Exp,"['Operations/Management', 'Education/Teaching', 'Education', 'Teaching', 'English', 'Supervision', 'Curriculum', 'Instruction', 'School', 'Primary']"
10407,Senior HR Generalist,Sama International College ,"Shorouk City, Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"['Human Resources', 'business', 'Business Administration', 'Communication', 'employment', 'HR', 'HR generalist', 'Human Resources', 'Human Resources (HR)', 'Personnel']"
10408,Fashion Retail Quality Controller,Al,"6th of October, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['Manufacturing/Production', 'quality', 'Quality Control', 'Fashion']"
10409,Junior Accountant,"Michael & Company, CPA ","Nasr City, Cairo, Egypt ",Full Time,Entry Level,Accounting/Finance,"['Accounting', 'QuickBooks', 'Microsoft Office', 'English', 'Financial Analysis', 'Commerce']"
10410,Landscape Manager,Tabarak Holding  ,"New Cairo, Cairo, Egypt ",Full Time,Manager,15 - 20 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Creative/Design/Art', 'Operations/Management', 'Agriculture', 'Architecture', 'CAD', 'Design', 'Engineering', 'Irrigation', 'Landscape']"
10411,Promotion Category Manager,Confidential ,"Giza, Egypt ",Full Time,Manager,10 - 12 Yrs of Exp,"['Operations/Management', 'Sales/Retail', 'Sales', 'Sales Target', 'Sales Field', 'Sales Management', 'Sales Skills']"
10412,Export Business Development Manager-Fresh Fruits,El Banna Group Company ,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Manager,15 - 20 Yrs of Exp,"['Business Development', 'Operations/Management', 'Sales/Retail', 'FMCG', 'Development', 'Business Development', 'sales skills', 'Sales', 'Logistics', 'Leadership']"
10413,Interior Design Technical Office Engineer,Amer Vision Group ,"Sheraton, Cairo, Egypt ",Full Time,Experienced,5 - 8 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Applied Arts', 'Fine Arts', 'Microsoft Office', 'AutoCAD', 'Technical Office']"
10414,Purchasing Specialist,The WaterWay Developments  ,"New Cairo, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"['Purchasing/Procurement', 'Computer Skills', 'Construction', 'Logistics', 'Procurement', 'Negotiation', 'Accounting']"
10415,Business Development Manager,Confidential ,"Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"['Business Development', 'Operations/Management', 'Marketing/PR/Advertising', 'Business Development', 'Communication skills', 'Project Management', 'Microsoft Office', 'business', 'Business Administration', 'Marketing']"
10416,.Net Full Stack Team Lead,Confidential ,"Sheraton, Cairo, Egypt ",Full Time,Experienced,5+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', '.NET', 'Information Technology (IT)', 'Computer Science', 'Communication Skills', 'Computer Skills', 'Microsoft Office', 'Software Development', 'Software Engineering']"
10417,Digital Marketing / Social Media Manager,World Trip Deal  ,"Dokki, Giza, Egypt ",Full Time,Manager,5 - 10 Yrs of Exp,"['males_preferred', 'Marketing/PR/Advertising', 'Tourism/Travel', 'E-Marketing', 'Online Marketing', 'Social Media', 'Marketing', 'media', 'social', 'Digital Marketing', 'Digital Advertising']"
10418,Interior Designer,Wayout interior design ,"New Cairo, Cairo, Egypt ",Full Time,Experienced,1 - 4 Yrs of Exp,"['Creative/Design/Art', '3D', 'AutoCAD', 'Interior Design']"
10419,Sales Account Manager,Premier Services and Recruitment ,"Katameya, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"['Customer Service/Support', 'IT/Software Development', 'Sales/Retail', 'account manager', 'Computer Science', 'sales skills', 'Software']"
10420,Business_Development_Specialist,Trainnovation International Group ,"Sheraton, Cairo, Egypt ",Full Time,Experienced,0 - 2 Yrs of Exp,"['Business Development', 'Business Development', 'Sales']"
10421,Team Leader Facility Maintenance,LEONI Wiring System Egypt S.A.E ,"Badr City, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"['Engineering - Other', 'Engineering', 'English', 'LEAN', 'Maintenance', 'Manufacturing']"
10422,Stock Controller,ElTarek Automotive ,"6th of October, Giza, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,"['Logistics/Supply Chain', 'Purchasing/Procurement', 'inventory', 'Logistics', 'Stock', 'Stock Control', 'Stock controller', 'Supply Chain', 'English']"
10423,Junior Tester,Tamweely ,"Shubra, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"['IT/Software Development', 'Quality', 'Engineering - Telecom/Technology', 'Computer Science', 'Information Technology (IT)', 'ISTQB', 'Software Testing', 'Testing', 'Agile', 'Automation']"
10424,Operation / Reservation Agent,World Trip Deal  ,"Dokki, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['Operations/Management', 'Tourism/Travel', 'Customer Service', 'Customer Support', 'Reservation', 'operation', 'Tourism', 'Customer Care']"
10425,IT Senior Specialist,Mersal  ,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['IT/Software Development', 'Project/Program Management', 'Engineering - Telecom/Technology', 'IT', 'Management', 'Project Management', 'Information Technology (IT)', 'Computer Science']"
10426,Procurement Specialist,LEONI Wiring System Egypt S.A.E ,"Nasr City, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"['Purchasing/Procurement', 'Procurement', 'Purchasing', 'Supply Chain']"
10427,Quality Specialist,Monglish Academy ,"San Stefano, Alexandria, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"['Customer Service/Support', 'Quality', 'Sales/Retail', 'English', 'excel', 'Microsoft Office', 'QA', 'Quality Assurance', 'Quality Control', 'quality']"
10428,Engineer,Confidential ,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,10 - 20 Yrs of Exp,"['Engineering - Other', 'Fertilizers', 'Petrochemicals', 'Power Plants', 'Refractories']"
10429,Senior Cost Control Engineer,Construction & Design Co. SAE ,"Madinaty, Cairo, Egypt ",Full Time,Experienced,6 - 8 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Cost Control', 'Engineering', 'Civil', 'Architecture', 'Cost', 'Control', 'Construction']"
10430,Business Development Coordinator,Premier Services and Recruitment ,"6th of October, Giza, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"['Business Development', 'Marketing/PR/Advertising', 'Sales/Retail', 'Business Development', 'sales skills', 'Presentations']"
10431,Application Support Engineer,BI,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,1 - 5 Yrs of Exp,"['Customer Service/Support', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Computer Science', 'Engineering', 'Telecommunication', 'Computer Engineering', 'Customer Service', 'Customer Support']"
10432,Recruitment Specialist,Amreyah Cement ,"Alexandria, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"['Administration', 'Human Resources', 'Operations/Management', 'Human Resources (HR)', 'OD', 'Organization Development', 'Recruitment', 'Human Resources', 'Business Administration', 'human resources management']"
10433,Data Scientist,Premier Services and Recruitment ,"Katameya, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Science', 'Computer Science', 'Information Technology (IT)']"
10434,Business Development Executive - Mawared Software Solutions,Arabic Localizer ,"Mohandessin, Giza, Egypt ",Full Time,Experienced,3 - 4 Yrs of Exp,"['Business Development', 'IT/Software Development', 'Sales/Retail', 'Account Management', 'Business Development', 'Communication', 'Communication skills', 'Customer Service', 'English', 'Management']"
10435,Tax Accountant,Confidential ,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"['males_only', 'Accounting/Finance', 'Tax', 'Corporate Tax', 'SAP', 'English', 'Financial Analysis', 'Finance', 'Industrial', 'Accounting', 'Tax Laws']"
10436,Senior Steel Detailing Engineer,ICON Holding ,"Helwan, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['Engineering - Other', 'AutoCAD', 'Civil Engineering', 'Cladding', 'PEB', 'Steel', 'Tekla']"
10437,Technical Professional Photographer & Videographer,Foto Express ,"Haram, Giza, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"['Customer Service/Support', 'Other', 'Technical Support', 'photography equipment', 'Photography']"
10438,Learning_and_Devalpment (L&D),Trainnovation International Group ,"Sheraton, Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"['Other', 'Learning Management System', 'Program Development']"
10439,Engineer,MMT ,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Engineering - Mechanical/Electrical', 'engineer', 'Engineering']"
10440,English Language Instructor - Zagazig,Oxford English Academy ,"Zagazig, Sharqia, Egypt ",Part Time,Experienced,1 - 2 Yrs of Exp,"['Education/Teaching', 'Training/Instructor', 'Training', 'Instructor', 'Teaching', 'Courses', 'Oxford', 'English']"
10441,Robotics & Steam Engineer For Kids,Oxford English Academy ,"Zagazig, Sharqia, Egypt ",Part Time,Experienced,2 - 4 Yrs of Exp,"['Engineering - Mechanical/Electrical', 'Engineering', 'Steam', 'Robotics', 'Programming', 'Teaching']"
10442,Senior Control Engineer,INTECH ,"New Cairo, Cairo, Egypt ",Full Time,Experienced,4 - 8 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'Control', 'Electrical', 'Engineering', 'PLC', 'SCADA', 'HMI', 'Wastewater Treatment']"
10443,Facility Management Specialist,LG Electronics ,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['males_preferred', 'Administration', 'Operations/Management', 'Communication skills', 'Microsoft Office', 'Skills', 'Manufacturing', 'Management', 'English', 'Administration', 'Administrative Affairs']"
10444,Commercial Manager,Confidential ,"Downtown, Cairo, Egypt ",Full Time,Experienced,10 - 15 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Construction', 'Commercial', 'Engineering', 'Architecture', 'Civil Engineering']"
10445,Social Media Generalist,Foto Express ,"Haram, Giza, Egypt ",Full Time,Entry Level,2 - 3 Yrs of Exp,"['Writing/Editorial', 'Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Marketing', 'Communication skills', 'Social Media']"
10446,SENIOR ELECTRICAL ENGINEER,WATAN ELETRIC ,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"['males_only', 'Engineering - Mechanical/Electrical', 'Design', 'Electrical', 'Electrical Engineering', 'Tendering']"
10447,BIM Engineer - Mechanical,INTECH ,"New Cairo, Cairo, Egypt ",Full Time,Experienced,6 - 8 Yrs of Exp,"['Creative/Design/Art', 'Engineering - Mechanical/Electrical', 'Engineering', 'Revit', 'AutoCAD', 'Design', '3D', '3D Modeling', 'BIM', 'Mechanical']"
10448,Gallery manager,Confidential ,"Garden City, Cairo, Egypt ",Full Time,Experienced,1+ Yrs of Exp,"['Creative/Design/Art', 'Operations/Management', 'Marketing/PR/Advertising', 'Management', 'Art', 'Business Administration', 'Gallery', 'Sales', 'English']"
10449,Insurance claims Specialist,Sky Holding ,"Katameya, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"['Administration', 'Medical/Healthcare', 'Sales/Retail', 'Insurance', 'English', 'Microsoft Office', 'Operations', 'Personnel', 'sales skills', 'office']"
10450,Sales Executive - Clubs' Memberships,Talaat Moustafa Group ,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,"['Sales/Retail', 'Real Estate', 'Marketing', 'Sales', 'Sales Planning', 'Sales Strategies', 'Customer Service', 'Customer Care', 'Customer Support', 'Sales Skills']"
10451,Project manager ( International Construction Firm ) UGANDA,Pillars ,"Kampala, Uganda ",Full Time,Manager,15+ Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Operations/Management', 'Project/Program Management', 'Civil Engineering', 'Construction', 'Project Management', 'Communication skills', 'Communication', 'Civil', 'Engineering']"
10452,Production Engineer,National Paints ,"Obour City, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"['males_only', 'R&D/Science', 'Manufacturing/Production', 'Engineering - Mechanical/Electrical', 'Production', 'Plant', 'Engineering', 'Production engineer', 'Manufacturing', 'Liquid\xa0', 'Paints']"
10453,Treasury Accountant,Tamweely ,"Shubra, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"['Accounting/Finance', 'Banking', 'Accounting', 'Finance', 'Financial Analysis', 'Treasury', 'Cash', 'Cash Flow']"
10454,Mapping & Coding Officer - Pharmacist,GlobeMed Egypt ,"Maadi, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"['Pharmaceutical', 'Pharmacy', 'Pharmaceutical', 'Community Pharmacist', 'Mapping', 'Codes', 'Health Care', 'Pharmaceutical Science', 'CPT', 'Price Lists']"
10455,Product Development Manager ( Automotive Spare Parts ),A,"Cairo, Egypt ",Full Time,Manager,7 - 10 Yrs of Exp,"['Business Development', 'Marketing/PR/Advertising', 'Sales/Retail', 'Business Development', 'Communication', 'Development', 'Information Technology (IT)', 'Engineering', 'Management', 'Mechanical Engineering']"
10456,Senior Import Specialist,Confidential ,"Obour City, Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"['males_only', 'Logistics/Supply Chain', 'Purchasing/Procurement', 'Logistics', 'Supply Chain', 'Import']"
10457,Senior AX Microsoft Dynamics Developer,Sky Holding ,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Ax', 'Ax Microsoft Dynamics', 'AX Microsoft', 'developer', 'Information Technology (IT)', 'Dynamics', 'Microsoft', 'Microsoft Dynamics']"
10458,Senior Talent Acquisition Specialist,Rowad Modern Engineering ,"New Cairo, Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"['males_preferred', 'Human Resources', 'CBI', 'Construction', 'Human Resources', 'Human Resources (HR)', 'Interviewing', 'Recruiting', 'Recruitment', 'Talent acquisition', 'Management']"
10459,Fine Art Instructor,Heliopolis University ,"Obour City, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"['Creative/Design/Art', 'Education/Teaching', 'Art', 'Arts', 'English', 'Fine Art', 'Fine Arts', 'Teaching']"
10460,Social Media Specialist,Tie House ,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 4 Yrs of Exp,"['Writing/Editorial', 'Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Communication', 'E-Marketing', 'facebook', 'instagram', 'Social Media', 'Marketing', 'media']"
10461,Administrative Assistant (Office Assistant),Heliopolis University ,"Obour City, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"['Administration', 'Administration', 'Microsoft', 'Office management', 'Secretary', 'Writing', 'English']"
10462,Web Developer,Heliopolis University ,"Obour City, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['IT/Software Development', 'CSS', 'HTML', 'JavaScript', 'PHP', 'Information Technology (IT)', 'Computer Science', 'Web Design', 'Web Development']"
10463,Technical Support Engineer,Arabian Advanced Systems ,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['IT/Software Development', 'Computer Engineering', 'Computer Science', 'Information Technology (IT)', 'Science']"
10464,Construction QC Engineer,Zamil Steel Buildings Co ,"6th of October, Giza, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"['males_only', 'Engineering - Construction/Civil/Architecture', 'Quality', 'Project Engineer', 'Planning Engineer', 'Civil Engineering', 'Letter of Credit', 'Approval Drawings', 'Project Management', 'Shipments', 'Order Management']"
10465,Math Teacher (Secondary Stage),Confidential ,"Mohandessin, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['Education/Teaching', 'Training/Instructor', 'Mathematics', 'Teaching', 'Tutor', 'Instructor', 'Education', 'Math', 'English', 'Math Teaching']"
10466,French Teacher (Secondary Stage),Confidential ,"Badr City, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"['Education/Teaching', 'School', 'Teaching', 'French Teaching']"
10467,Sales Manager- Technology Startup,Confidential ,"Cairo, Egypt ",Full Time,Manager,7 - 10 Yrs of Exp,"['Customer Service/Support', 'Sales/Retail', 'Sales', 'Real Estate', 'Technology', 'Startup', 'Sales Target', 'sales skills', 'Planning', 'Leadership']"
10468,Recruitment Specialist,AJ ,"Dokki, Giza, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"['Human Resources', 'Recruiter', 'Human Resources (HR)', 'Recruitment', 'Sourcing']"
10469,Architect Site Engineer,MOMENTUM ,"Cairo, Egypt ",Full Time,Experienced,4 - 5 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Architect', 'Engineering', 'Site', 'Site Engineer']"
10470,technical project coordinator,MOMENTUM ,"Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Engineering', 'Management', 'Project Management', 'quality']"
